Woche;TS;TK;OG;FD;FF
30.11.15;854241;85719;333322;654160;90817
07.12.15;837042;85700;316405;643882;96939
14.12.15;1056260;113111;370822;725276;112104
21.12.15;582018;57706;341719;355035;267757
28.12.15;703528;93883;337365;436932;249100
04.01.16;564780;76481;350479;557756;89585
11.01.16;674166;93907;380419;629260;84878
18.01.16;762610;91410;357865;677193;88440
25.01.16;713261;81640;356289;625349;86422
01.02.16;748974;98425;354552;628831;86125
08.02.16;778827;92879;358684;602731;82196
15.02.16;704440;86979;364419;618207;90690
22.02.16;768522;90743;390578;637890;79173
29.02.16;765945;98910;318717;648943;86816
07.03.16;831969;100608;366315;642502;93477
14.03.16;978923;119450;374384;689653;98047
21.03.16;662674;81117;348490;669506;71735
28.03.16;638963;90106;400788;539904;101869
04.04.16;687681;83116;392045;621376;95539
11.04.16;802030;89932;388972;639871;88527
18.04.16;779591;93823;395197;632166;95975
25.04.16;945124;100012;402709;689002;98206
02.05.16;681840;83679;408758;659342;111231
09.05.16;959232;115642;330322;712659;85961
16.05.16;812216;94919;403017;572946;111003
23.05.16;544957;69098;355997;579714;99754
30.05.16;776864;101758;392557;638848;89004
06.06.16;805612;107526;395374;652428;96177
13.06.16;754571;98009;383793;654057;95341
20.06.16;784813;105661;393833;652200;95838
27.06.16;790247;103690;400443;655833;99645
04.07.16;822344;101045;405303;643719;105836
11.07.16;816843;106448;401976;642079;99466
18.07.16;813782;108815;403784;652532;93979
25.07.16;787872;102428;401846;616423;100414
01.08.16;807080;98360;371781;613420;102942
08.08.16;725685;98417;348060;601940;94738
15.08.16;746099;93980;376363;613356;102720
22.08.16;733500;92632;378662;618143;94999
29.08.16;789203;96168;375509;632536;93128
05.09.16;765030;94956;368567;628213;95541
12.09.16;799318;90914;370114;651728;95430
19.09.16;832417;89566;339777;657820;95132
26.09.16;931575;106885;294460;763891;73958
03.10.16;681581;84407;408903;567113;114482
10.10.16;817239;84104;339169;639451;93335
17.10.16;768397;82549;332259;628884;86140
24.10.16;906720;92798;339372;692384;94176
31.10.16;688792;71242;310723;600254;87272
07.11.16;832857;91157;330460;639731;87744
14.11.16;835395;90463;423559;678127;90077
21.11.16;881947;84521;346542;634931;92414
28.11.16;859457;86780;336687;646691;90305
05.12.16;936253;104353;337260;667254;91985
12.12.16;950290;103376;337371;732275;100183
19.12.16;980209;127736;366970;696056;83569
26.12.16;903264;107548;375339;561987;91408
02.01.17;558347;74292;318410;556205;78486
09.01.17;781263;94256;453632;670496;101079
16.01.17;701896;94230;380047;664687;94100
23.01.17;771830;95850;376847;662065;91055
30.01.17;754762;90327;373755;643519;90103
06.02.17;767379;95736;364201;644289;89128
13.02.17;755935;97142;366472;646219;85100
20.02.17;791368;100839;335399;661246;122010
27.02.17;783188;86900;378226;626546;82224
06.03.17;763071;92575;406814;644889;87314
13.03.17;768443;95648;389454;645592;92481
20.03.17;755713;101817;395412;636461;84010
27.03.17;844986;99474;391657;678594;96339
03.04.17;976652;132880;424930;736722;111303
10.04.17;810041;106208;368218;722272;88508
17.04.17;725261;91926;407245;559496;107995
24.04.17;745019;96525;337335;726187;82823
01.05.17;802473;90801;454293;577872;109682
08.05.17;744567;89333;383469;652336;96791
15.05.17;926570;116458;380220;656312;104149
22.05.17;716986;93943;386705;658169;105120
29.05.17;976996;137615;352860;721704;88675
05.06.17;801298;108260;415585;607016;116992
12.06.17;638694;96458;385528;614496;100195
19.06.17;850042;110725;411215;688616;105175
26.06.17;904238;118753;387684;666725;90418
03.07.17;897808;109466;397266;673650;94907
10.07.17;850375;109949;390592;658829;92083
17.07.17;818836;111019;391041;653567;92893
24.07.17;856680;103112;370032;644235;93789
31.07.17;785127;107914;378885;647666;92758
07.08.17;797204;108432;375598;642742;93653
14.08.17;751679;103929;356660;633785;90081
21.08.17;740198;90580;349750;659301;90215
28.08.17;760622;92117;364905;668146;87585
04.09.17;765900;118784;353710;664529;89990
11.09.17;875553;92077;358545;685651;89799
18.09.17;820198;90453;364294;709581;96324
25.09.17;999168;95313;364454;739054;97043
02.10.17;674665;78127;332401;616666;83670
09.10.17;833124;94083;336115;649988;83309
16.10.17;872390;91637;336370;666299;86493
23.10.17;1121220;136918;385082;786580;109148
30.10.17;595104;64570;295407;551291;75743
06.11.17;892199;120221;329483;689234;92731
13.11.17;819606;95899;339455;679938;95801
